video,rally_id,old_start,old_end,new_start,new_end
0104排島臨打 2,38,868.767,877.3,869.267,876.8
0104排島臨打 2,39,883.4,887.567,883.9,887.067
0104排島臨打 3,1,58.6,66.2,59.1,65.7
0104排島臨打 3,2,70.0,110.967,70.5,109.9
0104排島臨打 3,3,121.967,148.5,122.467,147.967
0104排島臨打 3,4,152.633,161.4,153.133,160.9
0104排島臨打 3,5,165.533,177.567,166.033,177.033
0104排島臨打 3,6,184.8,206.0,185.3,205.467
0104排島臨打 3,7,214.367,227.433,214.833,226.9
0104排島臨打 3,8,234.5,242.433,235.0,241.933
0104排島臨打 3,9,252.367,268.9,252.867,268.367
0104排島臨打 3,10,275.867,280.7,276.367,280.167
0104排島臨打 3,11,286.767,314.767,287.233,314.233
0104排島臨打 3,12,326.067,334.367,326.533,333.833
0104排島臨打 3,13,340.667,349.133,341.133,348.6
0104排島臨打 3,14,360.867,386.4,361.367,385.867
0104排島臨打 3,15,397.8,412.7,398.267,412.167
0104排島臨打 3,16,419.6,427.133,420.1,426.6
0104排島臨打 3,17,434.733,476.967,435.233,476.433
0104排島臨打 3,18,484.533,488.767,485.033,488.267
0104排島臨打 3,19,495.0,499.233,495.467,498.7
0104排島臨打 3,20,509.8,528.667,510.267,528.133
0104排島臨打 3,21,541.033,548.667,541.533,548.133
0104排島臨打 3,22,557.7,566.433,558.167,565.9
0104排島臨打 3,23,572.033,579.733,572.533,579.2
0104排島臨打 3,24,588.233,608.2,588.7,607.667
0104排島臨打 3,25,618.6,629.5,619.067,628.967
0104排島臨打 3,26,636.2,648.067,636.7,647.533
0104排島臨打 3,27,654.9,672.6,655.4,672.067
0104排島臨打 3,28,680.8,686.333,681.267,685.8
0104排島臨打 3,29,690.433,698.267,690.933,697.767
0104排島臨打 3,30,702.333,706.5,702.8,705.967
0104排島臨打 3,31,712.967,722.067,713.467,721.567
0104排島臨打 3,32,730.667,747.6,731.167,747.1
0104排島臨打 3,33,753.167,764.733,753.667,764.2
0104排島臨打 3,34,772.3,786.0,772.8,786.3
0104排島臨打 3,35,796.833,801.333,797.3,800.8
0104排島臨打 3,36,813.1,820.3,813.567,819.767
0104排島臨打 3,37,828.467,832.833,828.933,832.333
0104排島臨打 3,38,840.067,848.433,840.567,847.9
0104排島臨打 3,39,857.267,863.967,857.733,863.433
0104排島臨打 3,40,869.467,882.267,869.933,881.733
0104排島臨打 3,41,890.6,895.033,891.067,894.5
0104排島臨打 3,42,903.133,927.667,903.6,927.133
0104排島臨打 3,43,935.933,957.067,936.433,956.533
0104排島臨打 3,44,964.467,976.1,964.933,975.567
0112小窩季打 10,1,4.567,13.567,5.067,13.067
0112小窩季打 10,2,21.367,45.2,21.867,44.7
0112小窩季打 10,3,53.9,68.3,54.4,67.767
0112小窩季打 10,4,79.9,84.167,80.4,83.667
0112小窩季打 10,5,93.7,97.8,94.2,97.3
0112小窩季打 10,6,103.667,113.2,104.167,112.7
0112小窩季打 10,7,119.0,130.767,119.5,130.267
0112小窩季打 10,8,140.4,158.967,140.9,158.467
0112小窩季打 10,9,167.3,184.7,167.8,184.2
0112小窩季打 10,10,190.467,198.367,190.967,197.867
0112小窩季打 10,11,208.867,220.733,209.367,220.233
0112小窩季打 10,12,229.9,253.333,230.4,252.833
0112小窩季打 10,13,263.0,281.467,263.5,280.967
0112小窩季打 10,14,291.333,318.633,291.833,318.133
0112小窩季打 10,15,326.733,334.8,327.233,334.3
0112小窩季打 10,16,346.867,351.067,347.367,350.567
0112小窩季打 10,17,357.8,370.233,358.3,369.733
0112小窩季打 10,18,377.867,383.567,378.367,383.067
0112小窩季打 10,19,389.767,394.0,390.267,393.5
0112小窩季打 10,20,400.8,412.7,401.3,412.2
0112小窩季打 10,21,423.867,430.933,424.367,430.433
0112小窩季打 10,22,443.233,462.033,443.733,461.533
0112小窩季打 10,23,473.767,477.9,474.267,477.4
0112小窩季打 10,24,483.267,491.233,483.767,490.733
0112小窩季打 10,25,494.933,503.433,495.433,502.933
0112小窩季打 10,26,511.567,520.633,512.067,520.133
0112小窩季打 10,27,527.833,535.7,528.333,535.2
0112小窩季打 10,28,546.367,557.567,546.867,557.067
0112小窩季打 10,29,564.233,587.933,564.733,587.433
0112小窩季打 10,30,596.6,607.133,597.1,606.633
0112小窩季打 10,31,621.833,649.833,622.333,649.333
0112小窩季打 10,32,654.7,666.767,655.2,666.267
0112小窩季打 10,33,676.4,683.833,676.9,683.333
0112小窩季打 10,34,693.6,701.367,694.1,700.867
0112小窩季打 10,35,712.1,717.033,712.6,716.533
0112小窩季打 10,36,725.867,736.233,726.367,735.733
0112小窩季打 10,37,744.933,752.733,745.433,752.233
0112小窩季打 10,38,759.233,771.833,759.733,771.333
0112小窩季打 10,39,780.467,791.933,780.967,791.433
0112小窩季打 10,40,803.567,815.267,804.067,814.767
0112小窩季打 10,41,825.267,834.167,825.767,833.667
0112小窩季打 11,1,4.8,12.733,5.3,12.233
0112小窩季打 11,2,21.267,27.367,21.767,26.867
0112小窩季打 11,3,33.267,38.4,33.767,37.9
0112小窩季打 11,4,46.233,57.667,46.733,57.167
0112小窩季打 11,5,62.633,71.233,63.133,70.733
0112小窩季打 11,6,77.833,86.9,78.333,86.4
0112小窩季打 11,7,96.333,104.067,96.833,103.567
0112小窩季打 11,8,117.367,121.867,117.867,121.367
0112小窩季打 11,9,127.567,148.1,128.067,147.6
0112小窩季打 11,10,157.767,169.533,158.267,169.033
0112小窩季打 11,11,178.033,185.633,178.533,185.133
0112小窩季打 11,12,191.333,199.867,191.833,199.367
0112小窩季打 11,13,206.567,217.333,207.067,216.833
0112小窩季打 11,14,223.4,228.433,223.9,227.933
0112小窩季打 11,15,237.867,243.133,238.367,242.633
0112小窩季打 11,16,249.4,258.1,249.9,257.6
0112小窩季打 11,17,262.5,268.433,263.0,267.933
0112小窩季打 11,18,275.133,285.467,275.633,284.967
0112小窩季打 11,19,292.433,301.7,292.933,301.2
0112小窩季打 11,20,310.967,323.033,311.467,322.533
0112小窩季打 11,21,329.6,338.033,330.1,337.533
0112小窩季打 11,22,342.367,356.567,342.867,356.067
0112小窩季打 11,23,366.133,374.4,366.633,373.9
0112小窩季打 11,24,383.667,391.667,384.167,391.167
0112小窩季打 11,25,397.167,412.7,397.667,412.2
0112小窩季打 11,26,425.933,442.067,426.433,441.567
0112小窩季打 11,27,450.633,469.967,451.133,469.467
0112小窩季打 11,28,478.133,482.933,478.633,482.433
0112小窩季打 11,29,490.667,512.467,491.167,511.967
0112小窩季打 11,30,521.033,528.167,521.533,527.667
0112小窩季打 11,31,535.4,544.8,535.9,544.3
0112小窩季打 11,32,555.133,575.1,555.633,574.6
0112小窩季打 11,33,580.767,589.267,581.267,588.767
0112小窩季打 11,34,596.833,617.733,597.333,617.233
0112小窩季打 11,35,626.467,638.033,626.967,637.533
0112小窩季打 11,36,642.767,651.633,643.267,651.133
0112小窩季打 11,37,655.667,675.2,656.167,674.7
0112小窩季打 11,38,687.0,705.5,687.5,705.0
0112小窩季打 11,39,719.233,723.533,719.733,723.033
0112小窩季打 11,40,728.933,733.467,729.433,732.967
0112小窩季打 11,41,738.167,742.6,738.667,742.1
0112小窩季打 11,42,746.7,785.067,747.2,784.567
0112小窩季打 11,43,796.1,809.867,796.6,809.367
0112小窩季打 11,44,821.933,838.133,822.433,837.633
0112小窩季打 11,45,842.6,859.033,843.1,858.533
0112小窩季打 11,46,863.967,876.7,864.467,876.2
0112小窩季打 11,47,885.6,894.567,886.1,894.067
0112小窩季打 11,48,903.267,920.833,903.767,920.333
0112小窩季打 11,49,930.133,964.567,930.633,964.067
0112小窩季打 11,50,975.333,983.833,975.833,983.333
0112小窩季打 1,1,4.867,12.833,5.367,12.333
0112小窩季打 1,2,22.567,46.833,23.067,46.333
0112小窩季打 1,3,56.8,72.8,57.3,72.3
0112小窩季打 1,4,84.6,104.5,85.1,104.0
0112小窩季打 1,5,109.4,125.233,109.9,124.733
0112小窩季打 1,6,138.633,161.267,139.133,160.767
0112小窩季打 1,7,169.267,182.367,169.767,181.867
0112小窩季打 1,8,188.6,204.1,189.1,203.567
0112小窩季打 1,9,213.567,221.933,214.067,221.433
0112小窩季打 1,10,225.6,245.2,226.1,244.7
0112小窩季打 1,11,252.267,271.5,252.767,271.0
0112小窩季打 1,12,278.167,287.033,278.667,286.533
0112小窩季打 1,13,294.333,335.167,294.833,334.667
0112小窩季打 1,14,345.433,357.8,345.933,357.3
0112小窩季打 1,15,362.267,374.633,362.767,374.133
0112小窩季打 1,16,384.133,408.433,384.633,407.933
0112小窩季打 1,17,415.0,424.8,415.5,424.3
0112小窩季打 1,18,435.667,444.3,436.167,443.8
0112小窩季打 1,19,450.367,463.833,450.867,463.333
0112小窩季打 1,20,469.367,489.967,469.867,489.467
0112小窩季打 1,21,495.7,504.3,496.2,503.8
0112小窩季打 1,22,508.867,520.133,509.367,519.633
0112小窩季打 1,23,525.067,537.9,525.567,537.4
0112小窩季打 1,24,542.967,552.233,543.467,551.733
0112小窩季打 1,25,559.533,564.933,560.033,564.433
0112小窩季打 1,26,569.367,575.233,569.867,574.733
0112小窩季打 1,27,582.633,590.667,583.133,590.167
0112小窩季打 1,28,597.767,606.3,598.267,605.8
0112小窩季打 1,29,614.733,624.6,615.233,624.1
0112小窩季打 1,30,633.2,641.567,633.7,641.067
0112小窩季打 1,31,647.667,656.3,648.167,655.8
0112小窩季打 1,32,664.267,672.4,664.767,671.9
0112小窩季打 1,33,678.3,699.5,678.8,699.0
0112小窩季打 1,34,704.567,720.0,705.067,719.5
0112小窩季打 1,35,723.933,731.5,724.433,731.0
0112小窩季打 1,36,738.133,745.767,738.633,745.267
0112小窩季打 1,37,751.333,770.1,751.833,769.6
0112小窩季打 1,38,780.267,808.233,780.767,807.733
0112小窩季打 1,39,818.533,836.433,819.033,835.933
0112小窩季打 1,40,842.033,851.167,842.533,850.667
0112小窩季打 1,41,855.467,861.567,855.967,861.067
0112小窩季打 1,42,865.733,882.967,866.233,882.467
0112小窩季打 1,43,891.433,898.0,891.933,897.5
0112小窩季打 1,44,906.2,911.233,906.7,910.733
0112小窩季打 1,45,916.933,921.167,917.433,920.667
0112小窩季打 6,1,2.133,22.367,2.633,21.867
0112小窩季打 6,2,28.233,45.3,28.733,44.8
0112小窩季打 6,3,56.4,66.367,56.9,65.867
0112小窩季打 6,4,77.5,90.067,78.0,89.567
0112小窩季打 6,5,95.667,100.133,96.167,99.633
0112小窩季打 6,6,109.033,116.333,109.533,115.833
0112小窩季打 6,7,121.567,133.433,122.067,132.933
0112小窩季打 6,8,140.6,145.167,141.1,144.667
0112小窩季打 6,9,151.433,163.8,151.933,163.3
0112小窩季打 6,10,168.733,183.867,169.233,183.367
0112小窩季打 6,11,193.0,222.867,193.5,222.367
0112小窩季打 6,12,232.733,251.033,233.233,250.533
0112小窩季打 6,13,258.8,301.7,259.3,301.2
0112小窩季打 6,14,312.867,327.533,313.367,327.033
0112小窩季打 6,15,333.367,341.7,333.867,341.2
0112小窩季打 6,16,349.833,358.633,350.333,358.133
0112小窩季打 6,17,363.833,375.167,364.333,374.667
0112小窩季打 6,18,388.533,392.933,389.033,392.433
0112小窩季打 6,19,402.2,416.833,402.7,416.333
0112小窩季打 6,20,423.567,429.367,424.067,428.867
0112小窩季打 6,21,435.633,454.567,436.133,454.067
0112小窩季打 6,22,461.433,467.167,461.933,466.667
0112小窩季打 6,23,473.933,490.4,474.433,489.9
0112小窩季打 6,24,496.6,507.2,497.1,506.7
0112小窩季打 6,25,515.833,524.533,516.333,524.033
0112小窩季打 6,26,533.0,553.3,533.5,552.8
0112小窩季打 6,27,560.533,565.033,561.033,564.533
0112小窩季打 6,28,572.367,588.067,572.867,587.567
0112小窩季打 6,29,597.9,607.3,598.4,606.8
0112小窩季打 6,30,614.433,622.4,614.933,621.9
0112小窩季打 6,31,626.033,642.733,626.533,642.233
0112小窩季打 6,32,646.733,654.833,647.233,654.333
0112小窩季打 6,33,662.833,670.5,663.333,670.0
0112小窩季打 6,34,680.8,702.233,681.3,701.733
0112小窩季打 6,35,706.633,714.433,707.133,713.933
0112小窩季打 6,36,718.767,723.2,719.267,722.7
0112小窩季打 6,37,726.0,742.467,726.5,741.967
0112小窩季打 6,38,748.5,764.933,749.0,764.433
0112小窩季打 6,39,778.167,782.067,778.667,781.567
0112小窩季打 6,40,788.7,793.033,789.2,792.533
0112小窩季打 6,41,804.367,833.533,804.867,833.033
0112小窩季打 6,42,855.8,865.033,856.3,864.533
0112小窩季打 6,43,873.6,885.567,874.1,885.067
0225小窩臨打 2,1,129.867,142.0,130.367,141.5
0225小窩臨打 2,2,147.933,151.967,148.433,151.467
0225小窩臨打 2,3,158.167,171.767,158.667,171.267
0225小窩臨打 2,4,176.933,186.567,177.433,186.067
0225小窩臨打 2,5,192.933,199.0,193.433,198.5
0225小窩臨打 2,6,203.0,215.267,203.5,214.767
0225小窩臨打 2,7,219.633,224.033,220.133,223.533
0225小窩臨打 2,8,231.733,248.367,232.233,247.867
0225小窩臨打 2,9,253.733,267.433,254.233,266.933
0225小窩臨打 2,10,273.633,297.767,274.133,297.267
0225小窩臨打 2,11,303.1,311.533,303.633,311.033
0225小窩臨打 2,12,320.333,337.233,320.833,336.733
0225小窩臨打 2,13,346.5,364.233,347.0,363.733
0225小窩臨打 2,14,371.033,386.033,371.533,385.533
0225小窩臨打 2,15,393.4,401.267,393.9,400.767
0225小窩臨打 2,16,407.7,411.9,408.2,411.4
0225小窩臨打 2,17,416.1,426.567,416.6,426.067
0225小窩臨打 2,18,437.367,442.933,437.867,442.433
0225小窩臨打 2,19,450.5,464.667,451.0,464.167
0225小窩臨打 2,20,474.267,490.1,474.767,489.6
0225小窩臨打 2,21,500.1,512.3,500.6,511.8
0225小窩臨打 2,22,525.767,541.267,526.267,540.767
0225小窩臨打 2,23,546.833,551.267,547.333,550.767
0225小窩臨打 2,24,556.733,561.033,557.233,560.533
0225小窩臨打 2,25,567.833,579.033,568.333,578.533
0225小窩臨打 2,26,585.433,589.633,585.933,589.133
0225小窩臨打 2,27,594.4,602.7,594.9,602.2
0225小窩臨打 2,28,610.933,619.9,611.433,619.4
0225小窩臨打 2,29,627.767,640.867,628.267,640.367
0225小窩臨打 2,30,649.433,660.833,649.933,660.333
0225小窩臨打 2,31,668.5,673.0,669.0,672.5
0225小窩臨打 2,32,681.233,693.6,681.733,693.1
0225小窩臨打 2,33,698.933,724.5,699.433,724.0
0225小窩臨打 2,34,727.7,735.967,728.2,735.467
0225小窩臨打 2,35,740.4,748.667,740.9,748.167
0225小窩臨打 2,36,752.2,764.367,752.7,763.867
0225小窩臨打 2,37,773.967,783.933,774.467,783.433
0225小窩臨打 2,38,789.233,797.5,789.733,797.0
0225小窩臨打 2,39,801.633,810.0,802.133,809.5
0225小窩臨打 2,40,819.7,840.967,820.2,840.467
0225小窩臨打 2,41,850.1,854.667,850.6,854.167
0225小窩臨打 2,42,861.5,873.233,862.0,872.733
0225小窩臨打 2,43,879.733,887.667,880.233,887.167
0225小窩臨打 2,44,896.733,915.167,897.233,914.667
0225小窩臨打 2,45,922.767,936.2,923.267,935.7
0225小窩臨打 2,46,939.6,950.167,940.1,949.667
0225小窩臨打 2,47,955.867,961.533,956.367,961.033
0225小窩臨打 2,48,970.333,980.2,970.833,979.7
0225小窩臨打 2,49,986.467,1011.2,986.967,1010.7
0225小窩臨打 3,1,68.937,91.89,69.47,91.39
0225小窩臨打 3,2,101.069,109.441,101.603,108.975
0225小窩臨打 3,3,117.285,124.256,117.785,123.789
0225小窩臨打 3,4,128.33,132.431,128.83,131.931
0225小窩臨打 3,5,144.346,157.856,144.846,157.356
0225小窩臨打 3,6,162.764,171.27,163.264,170.77
0225小窩臨打 3,7,179.347,195.26,179.847,194.76
0225小窩臨打 3,8,205.874,213.679,206.374,213.179
0225小窩臨打 3,9,220.288,224.856,220.788,224.356
0225小窩臨打 3,10,229.764,234.099,230.264,233.599
0225小窩臨打 3,11,239.341,244.176,239.841,243.676
0225小窩臨打 3,12,249.918,265.13,250.418,264.63
0225小窩臨打 3,13,270.305,279.711,270.805,279.211
0225小窩臨打 3,14,292.894,305.737,293.394,305.237
0225小窩臨打 3,15,314.549,332.864,315.049,332.364
0225小窩臨打 3,16,338.406,382.147,338.906,381.647
0225小窩臨打 3,17,393.928,398.296,394.428,397.796
0225小窩臨打 3,18,405.807,409.875,406.307,409.375
0225小窩臨打 3,19,415.25,419.818,415.75,419.318
0225小窩臨打 3,20,428.029,442.14,428.529,441.64
0225小窩臨打 3,21,453.321,471.937,453.821,471.437
0225小窩臨打 3,22,481.483,485.517,481.983,485.017
0225小窩臨打 3,23,492.293,504.603,492.793,504.103
0225小窩臨打 3,24,510.178,519.184,510.678,518.684
0225小窩臨打 3,25,524.692,532.931,525.192,532.431
0225小窩臨打 3,26,544.178,549.147,544.678,548.647
0225小窩臨打 3,27,552.353,561.66,552.853,561.16
0225小窩臨打 3,28,567.502,581.079,568.002,580.579
0225小窩臨打 3,29,587.589,594.759,588.089,594.259
0225小窩臨打 3,30,600.101,604.202,600.601,603.702
0225小窩臨打 3,31,610.945,619.484,611.445,618.984
0225小窩臨打 3,32,623.825,634.199,624.325,633.699
0225小窩臨打 3,33,640.608,648.513,641.108,648.013
0225小窩臨打 3,34,654.288,666.064,654.788,665.564
0225小窩臨打 3,35,676.844,685.316,677.344,684.816
0225小窩臨打 3,36,692.66,696.895,693.16,696.395
0225小窩臨打 3,37,703.905,711.609,704.405,711.109
0225小窩臨打 3,38,726.194,729.961,726.694,729.461
0225小窩臨打 3,39,738.84,757.856,739.34,757.356
0225小窩臨打 3,40,767.769,788.119,768.269,787.619
0225小窩臨打 3,41,800.301,804.736,800.801,804.236
0225小窩臨打 3,42,812.68,821.953,813.18,821.453
0225小窩臨打 3,43,829.897,835.366,830.397,834.866
0225小窩臨打 3,44,840.174,848.346,840.674,847.846
0225小窩臨打 3,45,853.554,865.53,854.054,865.03
0225小窩臨打 3,46,873.741,880.912,874.241,880.412
0225小窩臨打 3,47,887.255,892.957,887.755,892.457
0225小窩臨打 4,1,82.484,94.259,82.984,93.759
0225小窩臨打 4,2,104.573,124.189,105.073,123.689
0225小窩臨打 4,3,134.102,143.809,134.602,143.309
0225小窩臨打 4,4,150.252,164.763,150.752,164.263
0225小窩臨打 4,5,173.275,177.843,173.775,177.343
0225小窩臨打 4,6,183.685,196.562,184.185,196.062
0225小窩臨打 4,7,204.139,210.309,204.639,209.809
0225小窩臨打 4,8,217.719,226.291,218.219,225.791
0225小窩臨打 4,9,232.133,252.117,232.633,251.617
0225小窩臨打 4,10,258.56,267.566,259.06,267.066
0225小窩臨打 4,11,278.88,291.356,279.38,290.856
0225小窩臨打 4,12,297.866,319.651,298.366,319.151
0225小窩臨打 4,13,326.761,351.216,327.261,350.716
0225小窩臨打 4,14,362.597,383.115,363.097,382.615
0225小窩臨打 4,15,390.258,418.016,390.758,417.516
0225小窩臨打 4,16,428.163,438.603,428.663,438.103
0225小窩臨打 4,17,444.879,453.552,445.379,453.052
0225小窩臨打 4,18,459.994,464.596,460.494,464.096
0225小窩臨打 4,19,470.839,480.946,471.339,480.446
0225小窩臨打 4,20,490.124,494.693,490.624,494.193
0225小窩臨打 4,21,499.467,505.103,499.967,504.603
0225小窩臨打 4,22,511.412,535.8,511.912,535.3
0225小窩臨打 4,23,548.917,561.66,549.417,561.16
0225小窩臨打 4,24,566.968,579.177,567.468,578.677
0225小窩臨打 4,25,588.323,596.895,588.823,596.395
0225小窩臨打 4,26,600.735,609.24,601.235,608.74
0225小窩臨打 4,27,633.601,646.978,634.135,646.478
0225小窩臨打 4,28,656.924,664.729,657.424,664.229
0225小窩臨打 4,29,674.042,682.213,674.542,681.713
0225小窩臨打 4,30,686.12,690.422,686.62,689.922
0225小窩臨打 4,31,696.464,704.969,696.964,704.469
0225小窩臨打 4,32,708.242,716.014,708.742,715.514
0225小窩臨打 4,33,720.488,725.39,720.988,724.89
0225小窩臨打 4,34,731.933,762.327,732.433,761.827
0225小窩臨打 4,35,767.869,776.975,768.369,776.475
0225小窩臨打 4,36,785.119,797.862,785.619,797.362
0225小窩臨打 4,37,802.27,811.109,802.77,810.609
0225小窩臨打 4,38,818.519,842.173,819.019,841.673
0225小窩臨打 4,39,856.857,874.172,857.357,873.672
0225小窩臨打 4,40,881.282,908.606,881.782,908.106
0225小窩臨打 4,41,918.986,924.689,919.486,924.189
0225小窩臨打 4,42,932.066,939.57,932.566,939.07
0225小窩臨打 4,43,948.149,956.22,948.649,955.72
0316 小窩季打 11,1,5.133,13.267,5.633,12.767
0316 小窩季打 11,2,18.633,34.1,19.133,33.6
0316 小窩季打 11,3,58.133,66.333,58.633,65.833
0316 小窩季打 11,4,77.767,113.5,78.267,113.0
0316 小窩季打 11,5,127.333,166.3,127.833,165.8
0316 小窩季打 11,6,178.033,182.467,178.533,181.967
0316 小窩季打 11,7,189.867,200.8,190.367,200.3
0316 小窩季打 11,8,208.367,216.5,208.867,216.0
0316 小窩季打 11,9,219.933,239.6,220.433,239.1
0316 小窩季打 11,10,245.7,267.433,246.2,266.933
0316 小窩季打 11,11,278.2,294.533,278.7,294.033
0316 小窩季打 11,12,301.8,309.5,302.3,309.0
0316 小窩季打 11,13,314.2,365.033,314.7,364.533
0316 小窩季打 11,14,372.0,386.567,372.5,386.067
0316 小窩季打 11,15,394.8,403.467,395.3,402.967
0316 小窩季打 11,16,410.933,418.833,411.433,418.333
0316 小窩季打 11,17,427.967,463.667,428.467,463.167
0316 小窩季打 11,18,472.0,478.767,472.5,478.267
0316 小窩季打 11,19,481.533,486.467,482.033,485.967
0316 小窩季打 11,20,490.833,507.333,491.333,506.833
0316 小窩季打 11,21,520.167,525.6,520.667,525.1
0316 小窩季打 11,22,536.667,548.3,537.167,547.8
0316 小窩季打 11,23,561.167,565.3,561.667,564.8
0316 小窩季打 11,24,571.733,602.767,572.233,602.267
0316 小窩季打 11,25,609.667,618.333,610.167,617.833
0316 小窩季打 11,26,625.067,633.4,625.567,632.9
0316小窩季打 3,1,7.933,13.533,8.433,13.033
0316小窩季打 3,2,21.633,49.967,22.133,49.467
0316小窩季打 3,3,55.533,63.667,56.033,63.167
0316小窩季打 3,4,68.2,76.1,68.7,75.6
0316小窩季打 3,5,82.833,95.067,83.333,94.567
0316小窩季打 3,6,102.833,133.133,103.333,132.633
0316小窩季打 3,7,142.3,154.233,142.8,153.733
0316小窩季打 3,8,160.733,170.067,161.233,169.567
0316小窩季打 3,9,182.5,187.967,183.0,187.467
0316小窩季打 3,10,195.567,207.567,196.067,207.067
0316小窩季打 3,11,219.767,224.233,220.267,223.733
0316小窩季打 3,12,231.933,240.133,232.433,239.633
0316小窩季打 3,13,248.033,253.767,248.533,253.267
0316小窩季打 3,14,257.333,278.233,257.833,277.733
0316小窩季打 3,15,283.533,293.767,284.033,293.267
0316小窩季打 3,16,300.833,316.333,301.333,315.833
0316小窩季打 3,17,328.733,356.3,329.233,355.8
0316小窩季打 3,18,362.067,381.867,362.567,381.367
0316小窩季打 3,19,385.9,394.3,386.4,393.8
0316小窩季打 3,20,397.9,410.733,398.4,410.233
0316小窩季打 3,21,415.8,428.067,416.3,427.567
0316小窩季打 3,22,438.0,443.4,438.5,442.9
0316小窩季打 3,23,449.367,465.367,449.867,464.867
0316小窩季打 3,24,470.767,482.433,471.267,481.933
0316小窩季打 3,25,488.133,513.933,488.633,513.433
