id,video,rallies,reason
U0026,0316小窩季打 7,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0027,0316小窩季打 8,50,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0028,0316小窩季打 9,75,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0029,0323小窩臨打 4,40,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0030,0323小窩臨打 5,42,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0031,0323小窩臨打 6,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0032,0323小窩臨打 7,50,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0033,0323小窩臨打 8,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0034,0323小窩臨打 9,41,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0035,03⧸14(六) 16_00｜例行賽G104 #獅子王 vs. #屏東台電｜企業21年甲級男女排球聯賽_set3,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0036,03⧸14(六) 16_00｜例行賽G104 #獅子王 vs. #屏東台電｜企業21年甲級男女排球聯賽_set4,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0037,03⧸14(六) 18_00｜例行賽G105 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set2,45,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0038,03⧸14(六) 18_00｜例行賽G105 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set3,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0039,03⧸14(六) 18_00｜例行賽G105 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set4,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0040,03⧸15(日) 15_00｜例行賽G107 #桃園臺灣產險 vs. #獅子王｜企業21年甲級男女排球聯賽_set2,43,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0041,03⧸15(日) 15_00｜例行賽G107 #桃園臺灣產險 vs. #獅子王｜企業21年甲級男女排球聯賽_set3,45,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0042,03⧸15(日) 15_00｜例行賽G107 #桃園臺灣產險 vs. #獅子王｜企業21年甲級男女排球聯賽_set4,44,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0043,03⧸20(五) 14_00｜挑戰賽G110 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set3,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0044,03⧸20(五) 14_00｜挑戰賽G110 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set4,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0045,03⧸20(五) 16_00｜挑戰賽G111 #屏東台電 vs. #桃園臺產｜企業21年甲級男女排球聯賽_set2,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0046,03⧸20(五) 16_00｜挑戰賽G111 #屏東台電 vs. #桃園臺產｜企業21年甲級男女排球聯賽_set3,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0047,03⧸20(五) 18_00｜挑戰賽G112 #臺北國北獅 vs. #雲林美津濃｜企業21年甲級男女排球聯賽_set2,50,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0048,03⧸20(五) 18_00｜挑戰賽G112 #臺北國北獅 vs. #雲林美津濃｜企業21年甲級男女排球聯賽_set3,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0049,03⧸21(六) 18_00｜男子組冠軍賽G114 #雲林美津濃 vs. #屏東台電｜企業21年甲級男女排球聯賽_set2,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0050,03⧸21(六) 18_00｜男子組冠軍賽G114 #雲林美津濃 vs. #屏東台電｜企業21年甲級男女排球聯賽_set4,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0051,0419小窩臨打 4,40,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0052,0419小窩臨打 5,41,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0053,0419小窩臨打 6,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0054,0419小窩臨打 7,52,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0055,0419小窩臨打 8,39,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0056,0420小窩季打 10,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0057,0420小窩季打 11,52,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0058,0420小窩季打 12,44,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0059,0420小窩季打 4,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0060,0420小窩季打 5,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0061,0420小窩季打 6,41,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0062,0420小窩季打 7,40,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0063,0420小窩季打 8,42,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0064,0420小窩季打 9,45,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0065,0601小窩季打 10,43,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0066,0601小窩季打 11,43,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0067,0601小窩季打 12,43,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0068,0601小窩季打 4,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0069,0601小窩季打 5,34,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0070,0601小窩季打 6,41,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0071,0601小窩季打 7,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0072,0601小窩季打 8,37,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0073,0601小窩季打 9,39,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0074,0727小窩季打 10,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0075,0727小窩季打 11,35,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0076,0727小窩季打 3,57,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0077,0727小窩季打 4,41,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0078,0727小窩季打 5,41,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0079,0727小窩季打 6,54,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0080,0727小窩季打 7,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0081,0727小窩季打 9,43,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0082,0803小窩季打 11,51,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0083,0803小窩季打 12,45,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0084,0803小窩季打 3,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0085,0803小窩季打 4,41,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0086,0803小窩季打 5,50,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0087,0803小窩季打 6,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0088,0803小窩季打 7,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0089,0803小窩季打 8,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0090,0803小窩季打 9,40,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0091,0914小窩季打 11,45,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0092,0914小窩季打 12,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0093,0914小窩季打 3,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0094,0914小窩季打 4,52,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0095,0914小窩季打 5,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0096,0914小窩季打 6,43,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0097,0914小窩季打 7,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0098,0914小窩季打 8,45,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0099,0914小窩季打 9,38,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0100,1005小窩臨打 10,42,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0101,1005小窩臨打 11,51,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0102,1005小窩臨打 12,37,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0103,1005小窩臨打 2,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0104,1005小窩臨打 3,50,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0105,1005小窩臨打 5,56,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0106,1005小窩臨打 6,40,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0107,1005小窩臨打 7,39,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0108,1005小窩臨打 8,43,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0109,1005小窩臨打 9,45,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0110,10⧸4 4,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0111,10⧸4 5,36,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0112,10⧸4 6,40,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0113,1102小窩季打 10,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0114,1102小窩季打 11,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0115,1102小窩季打 12,54,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0116,1102小窩季打 3,45,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0117,1102小窩季打 4,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0118,1102小窩季打 5,57,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0119,1102小窩季打 6,45,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0120,1102小窩季打 7,18,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0121,1102小窩季打 8,36,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0122,1102小窩季打 9,36,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0123,11⧸23小窩臨打1,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0124,11⧸23小窩臨打2,60,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0125,11⧸23小窩臨打3,49,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0126,11⧸23小窩臨打4,42,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0127,1203小窩全女臨打1,42,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0128,1203小窩全女臨打2,36,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0129,1203小窩全女臨打3,41,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0130,1203小窩全女臨打4,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0131,1203小窩全女臨打6,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0132,1203小窩全女臨打7,39,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0133,20241103 霖度C-3,35,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0134,20241103 霖度C-4,39,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0135,20241103 霖度C-5,55,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0136,20241103 霖度C-6,34,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0137,20241103 霖度C-7,44,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0138,20241103 霖度C-8,42,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0139,20241103 霖度C-9,40,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0140,2025-09-27_G1_臺北伊斯特_vs_臺中連莊_set2,43,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0141,2025-09-27_G1_臺北伊斯特_vs_臺中連莊_set3,45,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0142,2025-09-28_G2_臺北伊斯特_vs_桃園雲豹飛將_set3,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0143,2025-09-28_G2_臺北伊斯特_vs_桃園雲豹飛將_set4,64,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0144,2025-09-28_G2_臺北伊斯特_vs_桃園雲豹飛將_set5,26,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0145,2025-10-04_G3_臺中連莊_vs_桃園雲豹飛將_set2,39,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0146,2025-10-04_G3_臺中連莊_vs_桃園雲豹飛將_set3,45,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0147,2025-10-04_G4_臺北伊斯特_vs_台鋼天鷹_set2,44,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0148,2025-10-04_G4_臺北伊斯特_vs_台鋼天鷹_set3,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0149,2025-10-05_G5_臺北伊斯特_vs_桃園雲豹飛將_set2,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0150,2025-10-05_G5_臺北伊斯特_vs_桃園雲豹飛將_set3,42,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0151,2025-10-11_G7_臺北伊斯特_vs_台鋼天鷹_set2,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0152,2025-10-11_G7_臺北伊斯特_vs_台鋼天鷹_set3,50,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0153,2025-10-11_G7_臺北伊斯特_vs_台鋼天鷹_set4,44,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0154,2025-10-11_G7_臺北伊斯特_vs_台鋼天鷹_set5,25,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0155,2025-10-11_G8_臺中連莊_vs_桃園雲豹飛將_set2,50,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0156,2025-10-11_G8_臺中連莊_vs_桃園雲豹飛將_set3,40,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0157,2025-10-12_G10_臺北伊斯特_vs_桃園雲豹飛將_set2,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0158,2025-10-12_G10_臺北伊斯特_vs_桃園雲豹飛將_set3,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0159,2025-10-12_G10_臺北伊斯特_vs_桃園雲豹飛將_set4,44,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0160,2025-10-12_G9_臺中連莊_vs_台鋼天鷹_set2,50,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0161,2025-10-12_G9_臺中連莊_vs_台鋼天鷹_set3,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0162,2025-10-25_G11_臺北伊斯特_vs_桃園雲豹飛將_set2,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0163,2025-10-25_G11_臺北伊斯特_vs_桃園雲豹飛將_set3,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0164,2025-10-25_G11_臺北伊斯特_vs_桃園雲豹飛將_set4,52,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0165,2025-10-25_G11_臺北伊斯特_vs_桃園雲豹飛將_set5,26,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0166,2025-10-25_G12_台鋼天鷹_vs_臺中連莊_set2,49,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0167,2025-10-25_G12_台鋼天鷹_vs_臺中連莊_set3,41,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0168,2025-10-25_G12_台鋼天鷹_vs_臺中連莊_set4,40,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0169,2025-10-25_G12_台鋼天鷹_vs_臺中連莊_set5,25,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0170,2025-10-26_G13_台鋼天鷹_vs_桃園雲豹飛將_set2,40,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0171,2025-10-26_G13_台鋼天鷹_vs_桃園雲豹飛將_set3,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0172,2025-10-26_G13_台鋼天鷹_vs_桃園雲豹飛將_set4,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0173,2025-10-26_G14_臺北伊斯特_vs_臺中連莊_set2,38,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0174,2025-10-26_G14_臺北伊斯特_vs_臺中連莊_set3,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0175,2025-10-26_G14_臺北伊斯特_vs_臺中連莊_set4,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0176,2025-10-26_G14_臺北伊斯特_vs_臺中連莊_set5,27,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0177,2025-11-01_G15_臺中連莊_vs_臺北伊斯特_set2,52,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0178,2025-11-01_G15_臺中連莊_vs_臺北伊斯特_set3,42,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0179,2025-11-01_G15_臺中連莊_vs_臺北伊斯特_set4,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0180,2025-11-01_G16_桃園雲豹飛將_vs_台鋼天鷹_set2,42,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0181,2025-11-01_G16_桃園雲豹飛將_vs_台鋼天鷹_set3,44,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0182,2025-11-01_G16_桃園雲豹飛將_vs_台鋼天鷹_set4,45,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0183,2025-11-01_G16_桃園雲豹飛將_vs_台鋼天鷹_set5,28,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0184,2025-11-02_G17_桃園雲豹飛將_vs_臺北伊斯特_set2,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0185,2025-11-02_G17_桃園雲豹飛將_vs_臺北伊斯特_set3,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0186,2025-11-02_G17_桃園雲豹飛將_vs_臺北伊斯特_set4,44,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0187,2025-11-02_G18_臺中連莊_vs_台鋼天鷹_set2,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0188,2025-11-02_G18_臺中連莊_vs_台鋼天鷹_set3,40,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0189,2025-11-08_G19_臺北伊斯特_vs_臺中連莊_set2,44,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0190,2025-11-08_G19_臺北伊斯特_vs_臺中連莊_set3,58,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0191,2025-11-08_G19_臺北伊斯特_vs_臺中連莊_set4,42,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0192,2025-11-08_G20_桃園雲豹飛將_vs_台鋼天鷹_set2,44,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0193,2025-11-08_G20_桃園雲豹飛將_vs_台鋼天鷹_set3,52,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0194,2025-11-08_G20_桃園雲豹飛將_vs_台鋼天鷹_set4,70,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0195,2025-11-08_G20_桃園雲豹飛將_vs_台鋼天鷹_set5,28,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0196,20250413 霖度C-1,50,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0197,20250413 霖度C-2,24,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0198,20250413 霖度C-3,40,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0199,20250413 霖度C-4,40,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0200,20250413 霖度C-6,38,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0201,20250413 霖度C-7,39,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0202,20250413 霖度C-8,72,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0203,20250420 霖度C-10,57,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0204,20250420 霖度C-2,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0205,20250420 霖度C-3,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0206,20250420 霖度C-4,51,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0207,20250420 霖度C-5,40,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0208,20250420 霖度C-6,51,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0209,20250420 霖度C-7,50,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0210,20250420 霖度C-8,41,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0211,20250420 霖度C-9,51,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0212,20250424 排島惡館-1,24,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0213,20250424 排島惡館-2,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0214,20250424 排島惡館-3,41,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0215,20250424 排島惡館-4,45,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0216,20250424 排島惡館-5,50,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0217,20250503 大統OB-成功大學vs中科大-友誼賽,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0218,20250503 大統OB-成功大學vs台北大學A-第一局,44,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0219,20250503 大統OB-成功大學vs台北大學B-第一局,39,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0220,20250503 大統OB-成功大學vs台北大學B-第二局,42,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0221,20250503 大統OB-成功大學vs輔仁大學-第一局,39,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0222,20250503 大統OB-成功大學vs輔仁大學-第二局,35,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0223,20250503 大統OB-成功大學vs靜宜大學-第一局,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0224,20250503 大統OB-成功大學vs靜宜大學-第三局-1,14,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0225,20250503 大統OB-成功大學vs靜宜大學-第三局-2,16,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0226,20250503 大統OB-成功大學vs靜宜大學-第二局,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0227,20250504 大統OB-成功大學vs中科大-第一局,39,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0228,20250504 大統OB-成功大學vs中科大-第二局,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0229,20250504 大統OB-成功大學vs台北大學A-第二局,42,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0230,20250504 大統OB-成功大學vs台北大學B-第一局,46,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0231,20250621 排島本館-1,40,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0232,20250621 排島本館-3,45,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0233,20250621 排島本館-4,47,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0234,20250621 排島本館-5,53,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0235,20250621 排島本館-6,44,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0236,20250621 排島本館-7,45,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0237,20250628-霖度C-2,44,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0238,20250628-霖度C-3,36,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0239,20250628-霖度C-4,45,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0240,20250628-霖度C-5,37,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0241,20250628-霖度C-6,43,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0242,20250628-霖度C-7,48,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0243,20250918-排島本館-1,41,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
U0244,20250918-排島本館-2,35,無對應人工 action 標註，無法計算 serve/score ±1 秒；未修改
