video,rally_id,start,end,kind,status,detail,id
03⧸15(日) 15_00｜例行賽G107 #桃園臺灣產險 vs. #獅子王｜企業21年甲級男女排球聯賽_set1,1,0.0,4.883,start 小於 0,調整後未出現；原始問題保留供複查,start=-1.433s,Q0032
03⧸15(日) 15_00｜例行賽G107 #桃園臺灣產險 vs. #獅子王｜企業21年甲級男女排球聯賽_set1,1,0.0,4.883,影片頭尾不足 1 秒,已截在影片範圍,start 無法留滿 1 秒；duration=1708.966s,Q0033
03⧸15(日) 15_00｜例行賽G107 #桃園臺灣產險 vs. #獅子王｜企業21年甲級男女排球聯賽_set1,47,1694.717,1708.966016,end 超出影片,調整後未出現；原始問題保留供複查,end=1710.433s；metadata duration=1708.966s,Q0034
03⧸15(日) 15_00｜例行賽G107 #桃園臺灣產險 vs. #獅子王｜企業21年甲級男女排球聯賽_set1,47,1694.717,1708.966016,影片頭尾不足 1 秒,已截在影片範圍,end 無法留滿 1 秒；duration=1708.966s,Q0035
03⧸15(日) 17_00｜例行賽G108 #新北中纖 vs. #高雄台電｜企業21年甲級男女排球聯賽_set1,1,0.383,6.933,start 小於 0,調整後未出現；原始問題保留供複查,start=-0.117s,Q0036
03⧸15(日) 17_00｜例行賽G108 #新北中纖 vs. #高雄台電｜企業21年甲級男女排球聯賽_set1,48,1851.017,1868.18099,end 超出影片,調整後未出現；原始問題保留供複查,end=1868.783s；metadata duration=1868.181s,Q0037
03⧸15(日) 17_00｜例行賽G108 #新北中纖 vs. #高雄台電｜企業21年甲級男女排球聯賽_set1,48,1851.017,1868.18099,影片頭尾不足 1 秒,已截在影片範圍,end 無法留滿 1 秒；duration=1868.181s,Q0038
03⧸15(日) 17_00｜例行賽G108 #新北中纖 vs. #高雄台電｜企業21年甲級男女排球聯賽_set2,1,0.0,5.2,start 小於 0,調整後未出現；原始問題保留供複查,start=-1.500s,Q0039
03⧸15(日) 17_00｜例行賽G108 #新北中纖 vs. #高雄台電｜企業21年甲級男女排球聯賽_set2,1,0.0,5.2,影片頭尾不足 1 秒,已截在影片範圍,start 無法留滿 1 秒；duration=1845.805s,Q0040
03⧸15(日) 17_00｜例行賽G108 #新北中纖 vs. #高雄台電｜企業21年甲級男女排球聯賽_set2,44,1831.617,1845.6,end 超出影片,調整後未出現；原始問題保留供複查,end=1846.100s；metadata duration=1845.805s,Q0041
03⧸15(日) 17_00｜例行賽G108 #新北中纖 vs. #高雄台電｜企業21年甲級男女排球聯賽_set3,1,0.117,7.1,start 小於 0,調整後未出現；原始問題保留供複查,start=-0.383s,Q0042
03⧸15(日) 17_00｜例行賽G108 #新北中纖 vs. #高雄台電｜企業21年甲級男女排球聯賽_set3,7,223.28,232.3,缺少 serve,調整後仍存在,span 內沒有 serve；既有人工紀錄：導播問題（本次未重看影片）,Q0043
03⧸15(日) 17_00｜例行賽G108 #新北中纖 vs. #高雄台電｜企業21年甲級男女排球聯賽_set5,1,0.0,9.733,start 小於 0,調整後未出現；原始問題保留供複查,start=-1.500s,Q0044
03⧸15(日) 17_00｜例行賽G108 #新北中纖 vs. #高雄台電｜企業21年甲級男女排球聯賽_set5,1,0.0,9.733,影片頭尾不足 1 秒,已截在影片範圍,start 無法留滿 1 秒；duration=1376.469s,Q0045
03⧸15(日) 17_00｜例行賽G108 #新北中纖 vs. #高雄台電｜企業21年甲級男女排球聯賽_set5,30,1371.317,1376.46901,end 超出影片,調整後未出現；原始問題保留供複查,end=1377.317s；metadata duration=1376.469s,Q0046
03⧸15(日) 17_00｜例行賽G108 #新北中纖 vs. #高雄台電｜企業21年甲級男女排球聯賽_set5,30,1371.317,1376.46901,影片頭尾不足 1 秒,已截在影片範圍,end 無法留滿 1 秒；duration=1376.469s,Q0047
03⧸20(五) 14_00｜挑戰賽G110 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set1,10,275.117,280.617,score 不在最後,調整後仍存在,"事件序列：serve@276.117s, receive@277.183s, set@278.767s, spike@279.417s, score@279.617s, receive@279.733s；既有人工紀錄：觸網（本次未重看影片）",Q0048
03⧸20(五) 14_00｜挑戰賽G110 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set1,10,275.117,280.617,調整後移出 span 的動作,需複查；action 標註保留,receive@281.433s,Q0049
03⧸20(五) 14_00｜挑戰賽G110 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set1,29,932.3,938.2,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@933.300s, receive@934.467s, set@935.600s, spike@936.733s, receive@937.200s, score@937.200s, set@939.250s；既有人工紀錄：觸網（本次未重看影片）",Q0050
03⧸20(五) 14_00｜挑戰賽G110 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set1,29,932.3,938.2,調整後移出 span 的動作,需複查；action 標註保留,set@939.250s,Q0051
03⧸20(五) 14_00｜挑戰賽G110 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set1,33,1151.55,1159.3,多個 score,調整後仍存在,"2 個：1156.900s, 1158.300s",Q0052
03⧸20(五) 14_00｜挑戰賽G110 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set1,42,1711.933,1718.433,score 不在最後,調整後仍存在,"事件序列：serve@1712.933s, receive@1713.883s, set@1715.283s, spike@1715.750s, block@1715.783s, receive@1716.400s, set@1717.417s, score@1717.433s, spike@1718.067s；既有人工紀錄：持球（本次未重看影片）",Q0053
03⧸20(五) 14_00｜挑戰賽G110 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set2,1,0.0,8.967,start 小於 0,調整後未出現；原始問題保留供複查,start=-1.417s,Q0054
03⧸20(五) 14_00｜挑戰賽G110 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set2,1,0.0,8.967,影片頭尾不足 1 秒,已截在影片範圍,start 無法留滿 1 秒；duration=1769.679s,Q0055
03⧸20(五) 14_00｜挑戰賽G110 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set2,6,144.8,211.117,缺少 serve,調整後仍存在,span 內沒有 serve；既有人工紀錄：導播問題（本次未重看影片）,Q0056
03⧸20(五) 14_00｜挑戰賽G110 #高雄台電 vs. #新北中纖｜企業21年甲級男女排球聯賽_set2,42,1763.5,1769.617,end 超出影片,調整後未出現；原始問題保留供複查,end=1770.117s；metadata duration=1769.679s,Q0057
03⧸20(五) 16_00｜挑戰賽G111 #屏東台電 vs. #桃園臺產｜企業21年甲級男女排球聯賽_set1,1,0.0,9.167,start 小於 0,調整後未出現；原始問題保留供複查,start=-1.500s,Q0058
03⧸20(五) 16_00｜挑戰賽G111 #屏東台電 vs. #桃園臺產｜企業21年甲級男女排球聯賽_set1,1,0.0,9.167,影片頭尾不足 1 秒,已截在影片範圍,start 無法留滿 1 秒；duration=1379.764s,Q0059
03⧸20(五) 16_00｜挑戰賽G111 #屏東台電 vs. #桃園臺產｜企業21年甲級男女排球聯賽_set1,24,639.0,646.233,score 不在最後,調整後仍存在,"事件序列：serve@640.000s, receive@640.900s, spike@642.133s, receive@642.883s, set@644.350s, spike@644.933s, score@645.233s, receive@645.367s；既有人工紀錄：觸網（本次未重看影片）",Q0060
03⧸20(五) 16_00｜挑戰賽G111 #屏東台電 vs. #桃園臺產｜企業21年甲級男女排球聯賽_set1,24,639.0,646.233,調整後移出 span 的動作,需複查；action 標註保留,set@647.300s,Q0061
03⧸20(五) 16_00｜挑戰賽G111 #屏東台電 vs. #桃園臺產｜企業21年甲級男女排球聯賽_set1,43,1364.667,1379.617,end 超出影片,調整後未出現；原始問題保留供複查,end=1380.117s；metadata duration=1379.764s,Q0062
03⧸20(五) 18_00｜挑戰賽G112 #臺北國北獅 vs. #雲林美津濃｜企業21年甲級男女排球聯賽_set1,20,604.883,613.9,score 不在最後,調整後仍存在,"事件序列：serve@605.883s, receive@606.750s, set@608.233s, spike@609.200s, block@609.300s, receive@610.350s, set@611.983s, spike@612.817s, score@612.900s, block@612.983s；既有人工紀錄：打到標竿（本次未重看影片）",Q0063
03⧸20(五) 18_00｜挑戰賽G112 #臺北國北獅 vs. #雲林美津濃｜企業21年甲級男女排球聯賽_set1,43,1504.117,1506.917,end 超出影片,調整後未出現；原始問題保留供複查,end=1507.417s；metadata duration=1507.382s,Q0064
03⧸21(六) 18_00｜男子組冠軍賽G114 #雲林美津濃 vs. #屏東台電｜企業21年甲級男女排球聯賽_set1,1,0.0,19.767,start 小於 0,調整後未出現；原始問題保留供複查,start=-1.200s,Q0065
03⧸21(六) 18_00｜男子組冠軍賽G114 #雲林美津濃 vs. #屏東台電｜企業21年甲級男女排球聯賽_set1,1,0.0,19.767,影片頭尾不足 1 秒,已截在影片範圍,start 無法留滿 1 秒；duration=1760.447s,Q0066
03⧸21(六) 18_00｜男子組冠軍賽G114 #雲林美津濃 vs. #屏東台電｜企業21年甲級男女排球聯賽_set1,11,363.567,369.35,score 不在最後,調整後仍存在,"事件序列：serve@364.567s, receive@365.567s, set@367.133s, spike@368.100s, score@368.350s, receive@368.767s；既有人工紀錄：觸網（本次未重看影片）",Q0067
03⧸21(六) 18_00｜男子組冠軍賽G114 #雲林美津濃 vs. #屏東台電｜企業21年甲級男女排球聯賽_set1,11,363.567,369.35,調整後移出 span 的動作,需複查；action 標註保留,set@370.700s,Q0068
03⧸21(六) 18_00｜男子組冠軍賽G114 #雲林美津濃 vs. #屏東台電｜企業21年甲級男女排球聯賽_set1,18,606.3,615.617,缺少 serve,調整後仍存在,span 內沒有 serve；既有人工紀錄：導播問題（本次未重看影片）,Q0069
03⧸21(六) 18_00｜男子組冠軍賽G114 #雲林美津濃 vs. #屏東台電｜企業21年甲級男女排球聯賽_set1,34,1176.333,1180.533,score 不在最後,調整後仍存在,"事件序列：serve@1177.333s, receive@1178.033s, block@1179.517s, score@1179.533s, spike@1179.933s；既有人工紀錄：舉球後排越界（本次未重看影片）",Q0070
03⧸21(六) 18_00｜男子組冠軍賽G114 #雲林美津濃 vs. #屏東台電｜企業21年甲級男女排球聯賽_set1,34,1176.333,1180.533,調整後移出 span 的動作,需複查；action 標註保留,receive@1180.633s,Q0071
03⧸21(六) 18_00｜男子組冠軍賽G114 #雲林美津濃 vs. #屏東台電｜企業21年甲級男女排球聯賽_set1,39,1339.1,1346.25,score 不在最後,調整後仍存在,"事件序列：serve@1340.100s, receive@1341.133s, set@1342.533s, spike@1343.683s, block@1343.783s, receive@1344.233s, score@1345.250s, receive@1345.867s；既有人工紀錄：落地後（本次未重看影片）",Q0072
03⧸21(六) 18_00｜男子組冠軍賽G114 #雲林美津濃 vs. #屏東台電｜企業21年甲級男女排球聯賽_set1,40,1371.017,1380.133,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@1372.017s, receive@1373.100s, spike@1374.733s, receive@1375.150s, set@1376.867s, spike@1378.300s, score@1379.133s, receive@1380.300s；既有人工紀錄：落地後（本次未重看影片）",Q0073
03⧸21(六) 18_00｜男子組冠軍賽G114 #雲林美津濃 vs. #屏東台電｜企業21年甲級男女排球聯賽_set1,40,1371.017,1380.133,調整後移出 span 的動作,需複查；action 標註保留,receive@1380.300s,Q0074
03⧸22(日) 17_00｜男子組冠軍賽 G117 #屏東台電 vs. #雲林美津濃｜企業21年甲級男女排球聯賽_set1,2,23.233,33.383,score 不在最後,調整後仍存在,"事件序列：serve@24.233s, receive@25.167s, spike@26.500s, receive@27.233s, set@28.500s, spike@29.717s, block@29.800s, receive@30.717s, set@31.967s, score@32.383s, spike@33.167s, block@33.233s；既有人工紀錄：觸網（本次未重看影片）",Q0075
03⧸22(日) 17_00｜男子組冠軍賽 G117 #屏東台電 vs. #雲林美津濃｜企業21年甲級男女排球聯賽_set1,30,993.638,998.283,缺少 serve,調整後仍存在,span 內沒有 serve；既有人工紀錄：導播問題（本次未重看影片）,Q0076
03⧸22(日) 17_00｜男子組冠軍賽 G117 #屏東台電 vs. #雲林美津濃｜企業21年甲級男女排球聯賽_set2,2,25.0,36.3,缺少 serve,調整後仍存在,span 內沒有 serve；既有人工紀錄：導播問題（本次未重看影片）,Q0077
03⧸22(日) 17_00｜男子組冠軍賽 G117 #屏東台電 vs. #雲林美津濃｜企業21年甲級男女排球聯賽_set2,30,1163.067,1167.283,score 不在最後,調整後仍存在,"事件序列：serve@1164.067s, receive@1164.733s, set@1166.133s, score@1166.283s, spike@1166.650s, block@1166.683s, receive@1166.833s；既有人工紀錄：觸網（本次未重看影片）",Q0078
03⧸22(日) 17_00｜男子組冠軍賽 G117 #屏東台電 vs. #雲林美津濃｜企業21年甲級男女排球聯賽_set3,1,0.0,3.383,start 小於 0,調整後未出現；原始問題保留供複查,start=-0.533s,Q0079
03⧸22(日) 17_00｜男子組冠軍賽 G117 #屏東台電 vs. #雲林美津濃｜企業21年甲級男女排球聯賽_set3,1,0.0,3.383,影片頭尾不足 1 秒,已截在影片範圍,start 無法留滿 1 秒；duration=1761.195s,Q0080
03⧸22(日) 17_00｜男子組冠軍賽 G117 #屏東台電 vs. #雲林美津濃｜企業21年甲級男女排球聯賽_set3,4,79.517,93.75,score 不在最後,調整後仍存在,"事件序列：serve@80.517s, receive@81.700s, set@82.783s, spike@83.850s, block@83.983s, receive@84.833s, set@86.733s, spike@88.517s, receive@89.233s, set@90.983s, spike@92.217s, block@92.300s, score@92.750s, receive@92.967s；既有人工紀錄：觸網（本次未重看影片）",Q0081
0419小窩臨打 1,27,646.03,664.763,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@647.030s, receive@648.331s, set@649.732s, spike@651.034s, receive@652.068s, set@653.319s, spike@654.804s, receive@655.588s, set@657.240s, spike@658.825s, receive@659.492s, set@661.361s, spike@662.829s, score@663.763s, serve@665.064s",Q0082
0419小窩臨打 1,27,646.03,664.763,多個 serve,調整後未出現；原始問題保留供複查,"2 個：647.030s, 665.064s",Q0083
0419小窩臨打 1,27,646.03,664.763,調整後移出 span 的動作,需複查；action 標註保留,serve@665.064s,Q0084
0419小窩臨打 2,37,849.249,866.515,score 不在最後,調整後仍存在,"事件序列：serve@850.249s, receive@851.167s, set@852.435s, spike@853.886s, receive@854.437s, receive@855.972s, receive@857.757s, receive@859.509s, set@860.977s, spike@862.445s, receive@863.062s, set@864.897s, score@865.515s, spike@866.449s；既有人工紀錄：觸網（本次未重看影片）",Q0085
0420小窩季打 1,43,890.567,894.4,score 不在最後,調整後仍存在,"事件序列：serve@891.567s, receive@892.667s, score@893.400s, receive@894.067s；既有人工紀錄：公正（本次未重看影片）",Q0086
0420小窩季打 2,11,219.3,235.933,score 不在最後,調整後仍存在,"事件序列：serve@220.300s, receive@221.433s, set@222.967s, spike@224.767s, receive@225.633s, set@227.200s, spike@228.867s, receive@229.500s, spike@230.767s, receive@231.800s, set@233.733s, score@234.933s, spike@235.367s；既有人工紀錄：後排踩線（本次未重看影片）",Q0087
0420小窩季打 2,11,219.3,235.933,調整後移出 span 的動作,需複查；action 標註保留,receive@236.000s,Q0088
0420小窩季打 2,47,931.433,946.2,多個 score,調整後仍存在,"2 個：943.700s, 945.200s",Q0089
0420小窩季打 3,15,252.933,258.2,score 不在最後,調整後仍存在,"事件序列：serve@253.933s, receive@254.967s, set@256.167s, score@257.200s, spike@257.567s；既有人工紀錄：後排踩線（本次未重看影片）",Q0090
0427小窩季打 11,18,462.1,480.767,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@463.100s, receive@464.200s, set@465.900s, spike@467.367s, receive@468.633s, set@470.100s, spike@471.867s, receive@472.333s, set@474.067s, spike@475.600s, receive@476.333s, set@478.200s, score@479.767s, receive@480.900s",Q0091
0427小窩季打 11,18,462.1,480.767,調整後移出 span 的動作,需複查；action 標註保留,receive@480.900s,Q0092
0427小窩季打 12,17,371.133,394.767,多個 score,調整後仍存在,"2 個：392.267s, 393.767s",Q0093
0427小窩季打 12,53,1190.833,1204.333,多個 score,調整後仍存在,"2 個：1202.000s, 1203.333s",Q0094
0914小窩季打 2,22,461.167,468.067,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@462.167s, receive@463.033s, receive@464.333s, receive@465.667s, score@467.067s, receive@468.300s",Q0095
0914小窩季打 2,22,461.167,468.067,調整後移出 span 的動作,需複查；action 標註保留,receive@468.300s,Q0096
2025-10-04_G3_臺中連莊_vs_桃園雲豹飛將_set1,13,353.888,357.323,score 不在最後,調整後仍存在,"事件序列：serve@354.888s, receive@355.822s, score@356.323s, set@356.957s；既有人工紀錄：越界（本次未重看影片）",Q0097
2025-10-04_G3_臺中連莊_vs_桃園雲豹飛將_set1,13,353.888,357.323,調整後移出 span 的動作,需複查；action 標註保留,receive@358.341s,Q0098
2025-10-04_G4_臺北伊斯特_vs_台鋼天鷹_set1,30,951.101,954.486,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@952.101s, score@953.486s, receive@954.854s",Q0099
2025-10-04_G4_臺北伊斯特_vs_台鋼天鷹_set1,30,951.101,954.486,調整後移出 span 的動作,需複查；action 標註保留,receive@954.854s,Q0100
2025-10-05_G5_臺北伊斯特_vs_桃園雲豹飛將_set1,16,466.117,478.01,score 不在最後,調整後仍存在,"事件序列：serve@467.117s, receive@468.184s, set@469.452s, spike@469.836s, receive@470.854s, set@472.455s, spike@473.006s, block@473.189s, receive@473.740s, set@475.058s, spike@476.393s, block@476.459s, receive@477.010s, score@477.010s, receive@477.727s；既有人工紀錄：持球（本次未重看影片）",Q0101
2025-10-11_G8_臺中連莊_vs_桃園雲豹飛將_set1,1,5.3,7.59,缺少 serve,調整後仍存在,span 內沒有 serve；既有人工紀錄：導播問題（本次未重看影片）,Q0102
2025-10-25_G11_臺北伊斯特_vs_桃園雲豹飛將_set1,26,849.083,855.537,score 不在最後,調整後仍存在,"事件序列：serve@850.083s, receive@851.117s, set@852.952s, spike@854.420s, score@854.537s, block@854.554s, receive@855.071s；既有人工紀錄：打到標竿（本次未重看影片）",Q0103
2025-10-26_G14_臺北伊斯特_vs_臺中連莊_set1,37,1355.805,1362.11,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@1356.805s, receive@1357.690s, set@1359.508s, spike@1360.693s, block@1360.743s, receive@1361.110s, score@1361.110s, set@1362.928s；既有人工紀錄：觸網（本次未重看影片）",Q0104
2025-10-26_G14_臺北伊斯特_vs_臺中連莊_set1,37,1355.805,1362.11,調整後移出 span 的動作,需複查；action 標註保留,set@1362.928s,Q0105
2025-11-01_G15_臺中連莊_vs_臺北伊斯特_set1,32,1117.15,1123.104,score 不在最後,調整後仍存在,"事件序列：serve@1118.150s, receive@1119.352s, set@1120.686s, spike@1121.620s, score@1122.104s, receive@1122.171s；既有人工紀錄：觸網（本次未重看影片）",Q0106
2025-11-01_G15_臺中連莊_vs_臺北伊斯特_set1,36,1229.329,1238.236,score 不在最後,調整後仍存在,"事件序列：serve@1230.329s, receive@1231.330s, set@1232.631s, spike@1233.666s, receive@1234.016s, set@1236.135s, score@1237.236s, spike@1237.403s；既有人工紀錄：越界（本次未重看影片）",Q0107
2025-11-01_G16_桃園雲豹飛將_vs_台鋼天鷹_set1,13,396.0,402.133,score 不在最後,調整後仍存在,"事件序列：serve@397.000s, receive@398.067s, set@399.733s, spike@400.867s, score@401.133s, receive@401.167s；既有人工紀錄：觸網（本次未重看影片）",Q0108
2025-11-02_G17_桃園雲豹飛將_vs_臺北伊斯特_set1,4,91.593,100.916,score 不在最後,調整後仍存在,"事件序列：serve@92.593s, receive@93.460s, set@94.695s, spike@95.912s, block@95.963s, receive@97.114s, set@98.532s, score@99.916s, receive@100.584s；既有人工紀錄：越網擊球（本次未重看影片）",Q0109
2025-11-08_G19_臺北伊斯特_vs_臺中連莊_set1,1,0.101,5.922,start 小於 0,調整後未出現；原始問題保留供複查,start=-0.399s,Q0110
2025-11-08_G19_臺北伊斯特_vs_臺中連莊_set1,47,1772.205,1774.772,score 不在最後,調整後仍存在,"事件序列：serve@1773.205s, score@1773.772s, receive@1774.439s；既有人工紀錄：打到標竿（本次未重看影片）",Q0111
2025-11-08_G20_桃園雲豹飛將_vs_台鋼天鷹_set1,29,979.68,985.734,score 不在最後,調整後仍存在,"事件序列：serve@980.680s, receive@981.380s, set@983.249s, spike@984.350s, block@984.734s, score@984.734s, receive@985.184s；既有人工紀錄：觸網（本次未重看影片）",Q0112
2025-11-08_G20_桃園雲豹飛將_vs_台鋼天鷹_set1,29,979.68,985.734,調整後移出 span 的動作,需複查；action 標註保留,set@986.486s,Q0113
